MOFid,metal,linker,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
ZOXGOK_clean,[Cu],[C][=Branch1][C][=O][Branch2][Ring2][=Branch1][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][OH0],-3.986897220069364,1.70722217,3.8605068142,6.81689,4.16129,6.80143,1.34232,1279.03,952.844,0.0,0.0,0.53,0.394837,0.0,Cu,Yes,Cu
ZOXGUQ_clean,[Ni],[C][=Branch2][Ring2][Branch2][=C][C][=Branch2][Ring1][=C][=C][C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][Ring2][Ring1][C][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-1.81004111448572,2.4478984747,3.0617656036,6.36133,3.352,6.36133,1.24131,655.841,528.344,1.04566,0.842381,0.4802,0.386848,0.0,Ni,Yes,Ni
ZOXTEN_clean,[Zn][Ho],[O][=C][Branch1][C][OH0][C][NH1][C][=Branch1][#Branch2][=N][C][=Ring1][Branch1][C][=Branch1][C][=O][OH0][C],-1.0963512185094233,2.3894075823,1.7328696535,5.96521,3.15004,5.78672,1.9472,0.0,0.0,615.231,315.957,0.4406,0.226273,0.0,"Ho,Zn",Yes,Ho
ZOXTIR_clean,[Zn][Er],[OH0][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][N][=C][Branch1][C][C][NH1][Ring1][=Branch2],-1.3625222787958604,2.3011732461,1.6727642674,5.95588,3.14053,5.93808,1.94964,0.0,0.0,602.113,308.833,0.4406,0.225991,0.0,"Zn,Er",Yes,Er
ZOXTOX_clean,[Zn][Yb],[N][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][NH1][C][=Ring1][O][C],-2.13190715426518,1.8270212812,1.7197427756,5.93888,3.12657,5.92099,1.98209,0.0,0.0,589.468,297.397,0.4366,0.220272,0.0,"Yb,Zn",Yes,Yb
ZOXTUD_clean,[Co][Tb],[C][Branch1][C][C][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][NH1][Ring1][N],-0.5491476107543274,2.421703327,1.6835441729,5.84263,3.22574,5.70759,1.90531,0.0,0.0,588.445,308.845,0.4264,0.223795,0.0,"Tb,Co",Yes,Tb
ZOYKEF_clean,[Mn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][O],-1.5652251742479175,3.203650875,4.4343204129,5.38578,3.28005,5.38076,1.30329,0.0,0.0,1195.09,916.984,0.4998,0.383492,0.0,Mn,Yes,Mn
ZOZCIC_clean,[U],[OH0][C][=Branch1][C][=O][C@@][C][C@][Branch2][Ring1][C][C][C@@H1][Branch1][Ring2][C][Ring1][=Branch1][C][C@@H1][Branch1][Ring2][C][Ring1][=Branch2][C][Ring1][Branch2][C][=Branch1][C][=O][OH0],-3.9438768198400216,1.0578756321,2.3415102414,4.77783,3.48746,4.76506,1.70684,334.136,195.762,173.298,101.532,0.4902,0.287197,0.0,U,Yes,U
ZOZKEG_clean,[Mn],[C][=Branch1][C][=O][Branch2][Ring1][P][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][OH0],-2.068110083970488,1.6464899449,5.1614196776,7.97254,6.83417,7.97254,1.12239,1128.68,1005.6,75.4829,67.2521,0.5514,0.491274,0.0,Mn,Yes,Mn
ZUBCEG_clean,[Ba][Fe],[C][=Branch1][C][=O][Branch1][=Branch1][C][=Branch1][C][=O][OH0][OH0],-0.6483428132599608,2.2329716626,1.6472587619,4.68192,2.5642,4.68076,2.08398,0.0,0.0,490.84,235.53,0.4436,0.212862,0.0,"Ba,Fe",Yes,Ba
ZUCKIT_clean,[Y],[C][=Branch1][C][=O][Branch2][#Branch1][C][C][=C][C][C][Branch2][=Branch1][#Branch1][C][=C][Branch1][Branch2][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][C][C][Branch2][Branch1][Ring1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][Ring1][=Branch2][C][=Ring1][N][C][C][Branch2][Ring1][Branch2][C][=C][Branch1][#Branch1][C][Ring2][Ring1][=Branch1][=Ring1][Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#Branch2][Branch1][C][C][C][Branch1][C][C][C][Branch1][C][C][C][OH0],-0.9850051045672036,4.6226904064,15.9621474218,21.54143,12.82644,21.54143,0.534491,1102.82,2063.31,408.868,764.967,0.7688,1.43838,0.0,Y,Yes,Y
ZUDQEW_clean,[Cd],[O][=C][Branch1][C][OH0][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N],-2.164834068681186,4.6784361173,4.1254256746,6.3794,3.06561,6.3794,1.53218,0.0,0.0,1139.02,743.396,0.529,0.34526,0.0,Cd,Yes,Cd
ZUDQUM_clean,[Mn],[C][=Branch2][Ring1][=Branch1][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-4.316440580399388,0.6663835383000001,5.977246527,5.81277,5.4291,5.81277,1.09047,1603.64,1470.59,0.0,0.0,0.5888,0.539951,0.0,Mn,No, 
ZUKNAW_clean,[Mo][Mn][Cu],[N][=C][C][=C][Branch1][N][C][Branch1][Ring1][C][OH0][Branch1][Ring1][C][OH0][C][OH0][C][=C][Ring1][=N],-4.77740577264591,0.2574901831,7.1805364912,11.21967,10.68501,10.9966,0.962771,2472.04,2567.63,0.0,0.0,0.7894,0.819925,0.0,"Mo,Cu,Mn",Yes,"Mo,Cu"
ZULVEJ_clean,[Be],[P][=Branch1][C][=O][Branch1][C][OH0][Branch1][C][OH0][O],-3.3514370403736287,2.6670811389,4.7760737735,4.77849,2.78356,4.67171,1.54609,0.0,0.0,882.146,570.567,0.467,0.302053,0.0,Be,No, 
ZUPBET_clean,[Eu],[C][=Branch2][Ring1][=Branch2][=C][C][Branch1][S][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=N][Ring1][=Branch2][=N][C][=C][Ring1][#C][C][=Branch1][C][=O][OH0],-2.0650942100222345,2.8613465726,3.9213516246,5.03517,4.18078,5.03517,1.52077,1109.78,729.746,0.0,0.0,0.4686,0.308133,0.0,Eu,Yes,Eu
